date,excerpt,link,query,region,source,title
15 Jan 2020,,https://cen.acs.org/materials/inorganic-chemistry/Lithium-based-semiconductor-detects-thermal/98/i3,semiconductor,UK,Chemical &amp; Engineering News,Lithium-based semiconductor detects thermal neutrons - Chemical &amp; Engineering News
16 Jan 2020," for Robert Harris’s thriller, “Enigma”, is wartime Britain, where everything is rationed except for the rain. It follows Tom Jericho, a young prodigy stationed at Bletchley Park, the real-life centre of code-breaking operations, who is part of a team of cryptologists trying to break the code used by Germany’s armed forces. The work has frustration built in. Any progress can be undone if the enemy changes the code—which he will if he suspects that it has been cracked.,Your browser does not support the <audio> element.,Enjoy more audio and podcasts on, , ,or, ,.,The novel comes to mind when considering the mysteries of shifts in the economic cycle and market reactions. The mood has clearly changed for the better since the middle of last year. Fears of recession have receded. Global equity prices have rallied. Bond yields have perked up. A truce in the trade war, however fragile, has helped. But the improvement in mood coincided with signs of life in Asia’s manufacturing hubs.,The key to these coded messages is the semiconductor industry. Cars, smartphones, gadgets and cloud-computing servers rely on components, notably memory chips, that are disproportionately made in emerging Asia. The mood-sensitive parts of aggregate demand—capital spending by firms and non-essential purchases by consumers—have microchips in there somewhere. The chip industry itself has savage mini-cycles. When it turns down, it is a sign of trouble ahead in the world economy. When it perks up, as it has done recently, there is reason to be more optimistic.,The cost structure of the chip business is central to this enigma. A semiconductor fabrication plant, or fab, costs billions of dollars to build. A sudden jump in orders, such as occurred in 2017, is met with increased capacity. But when demand falls, the fabs just keep producing. They are highly automated with few staff, so running costs are low. Continuous output makes sense but leads to occasional gluts and sagging prices, as happened through most of last year. Stocks become bloated. When demand picks up again, as it did late last year, stocks are drawn down and prices begin to stabilise.,Until quite recently the industry’s rhythms, and the tautness or slackness of Asia’s supply chains in general, were dictated by the two- or three-year life-cycle of smartphones. Export orders for Taiwanese electronics, for instance, tended to spike whenever a new Apple or Galaxy handset was launched. But the smartphone market is now saturated. Consumers find that an old model works almost as well as a newer one—and this might still be the case even when the new , generation of phones reaches the market. What drives growth in demand now is cloud computing, electrification of cars, wearable gadgetry and gaming, says Shawn Kim of Morgan Stanley. The cloud is a particular force. As firms ramp up capital spending of all kinds, that in turn spurs investment in cloud capacity, where business-related software lives.,What signals should market cryptologists be looking at? One measure is exports of semiconductors from South Korea, says Alicia Garcia-Herrero, chief economist for Asia at Natixis, an investment bank, who is based in Hong Kong. South Korea is pivotal to Asia’s supply chain, she says, and its shipments of semiconductors help predict exports in the region more generally. After a brutal 2019 the trend has bottomed out and is turning (see chart). Another signal is the financial health of big Asian chip companies, such as Samsung and , Hynix. Those averse to digging deep into financial statements could simply monitor industry share prices. Or they could look for inflection points in the price of ,, a type of memory chip used to store data on servers and computers.,Technology’s share of global , will continue to grow. In principle, then, these signals will become even more closely watched. But other forces are at work. China has designs to be self-sufficient in electronic components, a goal made more urgent by the trade-tech wars. The short-term effect is to give a boost to Asia’s tech industry. But in the longer term, firms might find themselves displaced by Chinese rivals, at least in China’s own market.,To the extent that China succeeds, it will devalue the signals that arrive from the more open parts of emerging Asia. Market-watchers will come to feel the same frustration felt by Mr Harris’s fictional codebreakers at Bletchley. The codes keep changing. For now, though, the message from Asia is that the sun is peeking through the clouds—or, at least, that it has stopped raining.,This article appeared in the Finance & economics section of the print edition under the headline ""The semaphore of semis"",A daily email with the best of our journalism,Published since September 1843 to take part in, , ,Copyright © The Economist Newspaper Limited ,2021,. All rights reserved.",https://www.economist.com/finance-and-economics/2020/01/16/what-the-semiconductor-industry-tells-us-about-the-world-economy,semiconductor,UK,The Economist,What the semiconductor industry tells us about the world economy - The Economist
08 Jan 2020,"By Hana Askren and Mark Andress,Until now, electric vehicle batteries suffered from being costly, large and inefficient. Gallium nitride (GaN) and silicon carbide (SiC) are two semiconductor technologies in the driver’s seat to change all that. ,Close-up of battery packs box in the the electric car.,The newer chemistries allow for smaller, more efficient semiconductors that can operate at higher voltages than traditional silicon wafers. Tesla’s decision to include SiC transistors in its Model 3 was seen as a big milestone for the industry. ,SiC first established itself at 1,200 volts, where it outcompetes silicon and GaN, and has moved down toward the 600 to 900 volt level to serve the EV market. GaN outcompetes silicon in the 200 to 900 volt level and is also establishing itself in the EV market. At these voltages, the technology can also be used in power electronics for solar power systems and industrial motor drives. ,With the automotive industry’s rapid pivot to electric vehicles, a slew of semiconductor startups are expected to be targeted by more-established players.,Among the most mature GaN startups are Ottawa, Ontario-based GaN Systems and El Segundo, California-based Navitas Semiconductor, whose , already have been identified in product “teardowns,” in which a device is dismantled to figure out who manufactures the parts. ,Other promising GaN startups include Ithaca, New York-based Odyssey Semiconductor and Israel’s VisIC Technologies, which are both developing high-voltage power switches and modules. El Segundo-based Efficient Power Conversion (EPC) and Goleta, California-based Transphorm, in which private equity firm KKR is an investor, are also notable GaN startups.,Meanwhile, Cree, the largest pure-play SiC company, , last year that it would invest $1 billion to expand manufacturing capacity at its Durham, North Carolina headquarters, as well to build a new fabrication facility in upstate New York. Other smaller SiC companies include Virginia-based GeneSiC Semiconductor, New Jersey-based United Silicon Carbide and New Hampshire-based GT Advanced Technologies.,Leading power semiconductor device players, which feature STMicroelectronics, Infineon Technologies, ON Semiconductor and Mitsubishi Electric, likely are all watching the upstarts. Some have already made acquisitions, as , in February 2019 when it bought Swedish SiC wafer manufacturer Norstel for $137.5 million. Other big players – such as Panasonic, ON Semiconductor, Texas Instruments and SanKen Electric – also have been developing GaN switching transistors. Expect some to switch gears with an acquisition to speed up that process, according to an industry investment banker and analyst. ,In addition to proven applications like EVs and solar panels, these devices are opening the door to whole new applications, said Craig Irwin, managing director and senior research analyst at Roth Capital, adding, “there’s a lot of blue sky out there – where else are these going to be used?” New companies are entering the market, taking on the R&D and startup risks, and could become targets once their products are established. ,There is “intense interest” in these companies for M&A and investment, and a scarcity of targets, Irwin added. Takeout valuations would have to be large in order to counter the opportunity of remaining independent and raising private capital, or pursuing an IPO.,We are a leading independent M&A media service with an unrivaled network of over 300 dedicated M&A journalists based in 65 locations across the Americas, Europe,,We are a leading independent M&A media service with an unrivaled network of over 300 dedicated M&A journalists based in 65 locations across the Americas, Europe, Asia-Pacific, the Middle-East and Africa. We specialize in providing forward-looking origination and deal flow opportunities – six to 24 months in advance – integrated with a comprehensive deals database resulting in real revenues for our clients. Visit www.mergermarket.com or www.acuris.com for more information.",https://www.forbes.com/sites/mergermarket/2020/01/08/new-semiconductor-technologies-driving-down-cost-of-electric-vehicle-batteries/,semiconductor,UK,Forbes,New Semiconductor Technologies Driving Down Cost Of Electric Vehicle Batteries - Forbes
21 Jan 2020,"密碼設定成功，請使用新密碼登入
        ,
              ,
              ,
              
            ,
            TAIPEI (Taiwan News) — South Korea can hardly compete with Taiwan in semiconductor manufacturing despite the ambitious move by Samsung Electronics to put a 3-nanometer semiconductor node into commercial production, said Taiwan’s top tech official.,
            Taiwan’s semiconductor industry had an annual output valued at NT$2.6 trillion (US$867 billion) in 2019, said Ministry of Science and Technology (MOST) Minister Chen Liang-gee (陳良基) at a news conference held on Monday (Jan. 20). The output is expected to double to NT$5.2 trillion within a decade and even reach NT$6 trillion by 2030 according to an optimistic forecast, wrote ,.,
            While Samsung is striving to stay ahead of the game through the advancement of chip-making technology with strong backing from the South Korean government, it is unlikely to beat Taiwan Semiconductor Manufacturing Company (TSMC), the world’s largest semiconductor foundry, Chen believes.,
            Taiwan’s semiconductor businesses thrive on cluster development and an “industry ecology,” as evidenced by the country's many science parks, Chen said. This provides an unrivaled competitive edge for local companies, even faced with competition from Samsung, a conglomerate which receives enormous resources from the government.,
            The island country also boasts top-notch semiconductor packaging, assembly, and testing technology which, along with heterogeneous integration and advanced process control technologies, will receive equal emphasis as Taiwan endeavors to cement its commanding position on the world’s chip manufacturing scene, Chen reckoned.,
            The establishment of a research and development center for the semiconductor sector is in the pipeline, said Chen, as part of a national strategy to promote the technology that serves as a pillar of Taiwan’s economy, wrote UDN.,Updated : 2021-08-14 19:59 GMT+08:00,Taiwan News  ©  2019 All Rights Reserved.",https://www.taiwannews.com.tw/en/news/3861646,semiconductor,UK,Taiwan News,South Korea no rival to Taiwan in semiconductor industry: minister - Taiwan News
22 Jan 2020,"To continue, please click the box below to let us know you're not a robot.,Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading. For more information you can review our , and ,.,For inquiries related to this message please , and provide the reference ID below.",https://www.bloomberg.com/news/articles/2020-01-22/open-source-transformed-software-the-chip-industry-is-next,semiconductor,UK,Bloomberg,Silicon Valley's Next Revolution Is Open Source Semiconductors - Bloomberg
20 Jan 2020,"20-Jan-2020 ,
, | ,
BES has completed a project that encompassed architectural, HVAC and electrical services for 1,000 sqm of cleanroom and laboratory space,Boulting Environmental Services has completed an £8.1 million ($10.5m) design and build project to deliver Compound Semiconductor Applications (CSA) Catapult’s facility in the world’s first compound semiconductor cluster in South Wales.,The Catapult Innovation Centre will drive advances in compound semiconductor technology and applications, enabling the UK to spearhead future technologies, including autonomous vehicles, 5G mobile networks, renewable energy and the Internet of Things (IoT).,The completed project is of national and international significance, launching a facility that will become a hub for high-tech research and development and support the UK’s growth potential in emerging sectors.,The scope of work for BES encompassed architectural, HVAC and electrical services to 1,000 sqm of cleanroom and laboratory space. ,Steve Marsh, Managing Director of BES: “Working collaboratively with the client and their designers Monteith Scott and M& E consultants Atkins, our integrated design and construction team provided a seamless project delivery.”,The advanced labs and cleanrooms, Marsh explained, have been designed and built for this project to play a key role in helping the UK capitalise on the next wave of technological discovery and multidisciplinary approach to managing the delivery of sophisticated facilities from concept through to validation.,BES’ in-house multidisciplinary team worked closely with Catapult’s technical project leads to develop a design for the technical facilities that answer the current and future goals of the CSA Catapult Innovation Centre’s remit.,The company has designed, constructed and commissioned an IS0 Class 7 cleanroom along with a number of laboratory environments, including a photonics lab, a power electronics lab, an advanced packaging suite, an evaluation lab, a radio frequency lab and a high-power lab.,All labs and cleanrooms have been constructed from specialist cleanroom partitioning and contain client equipment including Climate Chambers, a Shaker Chamber and optical tables.,BES was also responsible for design and installation of a new plant room on the second floor to accommodate the project’s complex HVAC requirements, along with a new ground floor substation.,CEO of CSA Catapult, Stephen Doran, said: “CSA Catapult will play a crucial part in the global adoption of compound semiconductor technology, and the work that BES has completed for us will help us on that journey.”,
,
,
,
",https://www.cleanroomtechnology.com/news/article_page/BES_completes_10m_semiconductor_facility_for_CSA_Catapult/161592,semiconductor,UK,Cleanroom Technology,BES completes $10m semiconductor facility for CSA Catapult - Cleanroom Technology
16 Jan 2020,"This copy is for your personal, non-commercial use only. To order presentation-ready copies for distribution to your colleagues, clients or customers visit http://www.djreprints.com.,https://www.barrons.com/articles/taiwan-semiconductor-tsmc-capex-budget-semiconductor-equipment-chip-stocks-51579192516,In the latest signal that the chip industry is headed for a pick up in demand after a weak 2019, the world’s leading chip manufacturer for hire reported strong fourth-quarter results, better-than-expected first-quarter guidance, and spending plans for 2020 that should please investors in semiconductor-equipment stocks. ,
          ,
       (TSM) , of $10.39 billion, up 10.6% both from a year ago and from the third quarter, but slightly below the Street consensus forecast at $10.46 billion. Profits were 73 cents a share, ahead of the Street consensus view at 71 cents.,“Our fourth quarter business benefited from strong demand for high-end smartphones, initial 5G deployment and high performance computing related applications using TSMC’s industry-leading 7-nanometer technology,” TSMC Chief Financial Officer Wendell Huang said in a statement. “Moving into first quarter 2020, despite mobile product seasonality, we anticipate our business to be supported by the continued ramp of 5G smartphones.”,For the first quarter, the company sees revenue of $10.2 billion to $10.3 billion, above the previous Wall Street analyst consensus at $10.1 billion. TSMC sees gross margin of 48.5% to 50.5%, versus 50.2% in the fourth quarter, and slightly above guidance, with operating margin of 37.5% to 39.5%, which compares with 39.2% in the fourth quarter, and just ahead of the guidance range.,TSMC projects a capital spending budget this year of $15 billion to $16 billion, up from the $14.9 billion the company spent in 2019, a number that itself was about $400 million above Street estimates. ,analyst ,this morning reiterated his Positive rating on the stock, lifting his target on TSMC’s shares to $74 from $70. He notes that the company’s strong Q1 guidance reflects growing demand for chips used in both 5G and high-performance computing applications. He notes that the stock has recently come under some selling pressure on fears of trade issues and advises investors to buy the stock here.,analyst ,writes in a brief research note this morning that TSMC’s spending plans are well above his previous projection of $14.5 billion. Malik notes that TSMC said it expects to spend 80% of its 2020 capex budget on advanced process technologies—at 7nm line widths and smaller—and adds that the company’s robust spending plans comes as good news for the semiconductor equipment manufacturing sector.,Malik notes that TSMC expects 5G and high-performance computing applications to drive strong demand over the next several years. The company sees 20% growth this year for smartphones and high-performance computing, with mid-teens growth for automotive applications and wearables.,analyst ,likewise comments in a research note this morning that TSMC’s spending plans are “a modest upside surprise” for semiconductor equipment stocks. , A weekly guide to our best stories on technology, disruption, and the people and stocks in the middle of it all.  ,Some chip investors get nervous when chipmakers are spending on new capacity; the industry tends to overshoot and create price-crushing over-supply. But Ho isn’t worried. “Ultimately, while some may be concerned over this high forecast of capex and equipment spending, we believe that strong demand in these markets and differentiated and leading process technology is driving this capex spend,” he writes. ,“Customers need to pay for this capacity increase if the demand is as healthy and robust as TSMC and other forecasters see,” Ho says. “More importantly, we believe some of these demand trends could be sustainable and could keep capex elevated going into 2021. This upside surprise is part of our overall favorable sentiment entering 2020 and we maintain our positive view on the group and the stocks at this time.”,TSMC shares were recently up slightly to $58.52. Among semiconductor equipment stocks, 
          ,
       (AMAT), 
          ,
      (KLAC), and 
          ,
       (TER) are all up about 1%.,Eric Savitz at ,In the latest signal that the chip industry is headed for a pick up in demand after a weak 2019, the world’s leading chip manufacturer for hire reported strong fourth-quarter results, better-than-expected first-quarter guidance, and spending plans for 2020 that should please investors in semiconductor-equipment stocks.,An error has occurred, please try again later.,Thank you,This article has been sent to,Copyright ©2021 Dow Jones & Company, Inc. All Rights Reserved,This copy is for your personal, non-commercial use only. Distribution and use of this material are governed by our Subscriber Agreement and by copyright law. For non-personal use or to order multiple copies, please contact Dow Jones Reprints at 1-800-843-0008 or visit www.djreprints.com.",https://www.barrons.com/articles/taiwan-semiconductor-tsmc-capex-budget-semiconductor-equipment-chip-stocks-51579192516,semiconductor,UK,Barron's,Taiwan Semiconductor Boosted Its Capex Budget. Analysts Say That’s Good News for Chip Stocks. - Barron's
30 Jan 2020,"CHICAGO--(,)--,, a technology company specializing in the fabrication and application of lab-grown, electronic-grade diamonds, announced today that it has been issued a patent by the United States Patent Office (USPTO). The patent covers AKHAN’s new and improved system and method for fabricating monolithically integrated diamond semiconductors.
,
The issued patent, No. US 10,546,749 B2, is a key addition to AKHAN’s breakthrough Miraj Diamond® intellectual property portfolio. It is the Company’s seventh patent issued in the U.S. and is generally related to semiconductor fabrication methods, and more particularly to a method of fabricating diamond semiconductors. Diamond possess favorable theoretical semiconductor performance characteristics; however, practical diamond-based semiconductor device applications remain limited because of difficulties associated with fabricating quality n-type layers in diamond. AKHAN’s newest patent discloses a new and improved system and method for fabricating diamond semiconductors. It includes the steps of seeding the surface of a substrate material, forming a diamond layer upon the surface of the substrate material, and forming a semiconductor layer within the diamond layer, wherein the diamond semiconductor of the semiconductor layer has n-type donor atoms and a diamond lattice.
,
“Our newest patent is further validation that AKHAN Semiconductor is the world leader in fabricating lab-grown diamonds that significantly enhance the capabilities of technologies across all industries, from consumer electronics like the phone in your pocket, to the military and defense systems that protect our great nation,” said Adam Khan, Founder and CEO of AKHAN Semiconductor. “Through this new and improved system, we are able to more efficiently develop lab-grown diamond technology that performs exceptionally better than the market-leading materials commonly used today.”
,
AKHAN’s flagship Miraj Diamond® Technology is capable of increasing power density and creating faster, lighter and simpler electronic devices for consumer, industrial and defense use. Cheaper and thinner than its silicon counterparts, diamond-based materials are on their way to becoming the industry standard for energy-efficient electronics.
,
,
,
AKHAN is a technology company specializing in the fabrication and application of electronics-grade diamonds as functional semiconductors. AKHAN is headquartered in Gurnee, Lake County, Illinois. Additional information about AKHAN is available on the Company's website at ,.
,
AKHAN Media Contact:
,Rob Kreis
,
,
AKHAN Media Contact:
,Rob Kreis
,
",https://www.businesswire.com/news/home/20200130005463/en/AKHAN-Semiconductor-Issued-Major-Patent-in-United-States,semiconductor,UK,Business Wire,AKHAN Semiconductor Issued Major Patent in United States - Business Wire
14 Jan 2020,"The global semiconductor industry experienced a double-digit decline in revenue during 2019, as weak performance in the memory market affected many of the top vendors, data from research company Gartner showed.,Global revenue of $418.3 billion was 11.9 per cent lower than in 2018.,Memory chips represented 26.7 per cent of the total, though revenue fell 31.5 per cent year-on-year. Gartner attributed this to oversupply and lower prices in the DRAM and NAND flash markets.,Gartner stated Intel topped to tables in terms of revenue, displacing Samsung Electronics after two consecutive years at the head of the list. Intel’s revenue was down a marginal 0.7 per cent to $65 million, which the research company attributed to a slowdown in the server market, constrained CPU supply and the completion of the ,.,Samsung Electronics was hit by the decline in the memory market. Revenue from its memory business, which accounted for 82 per cent of its total semiconductor sales, was down 34 per cent. The vendor recently noted an improving trend in , during Q4 2019.,Gartner noted the NAND flash market began to stabilise in July 2019 and expected its recovery to continue this year on the back of “strong demand from solid-state drive (SSD) adoption and the ramp up of 5G smartphones”.,The company also predicted overall semiconductor revenue to improve in 2020.,
,
,Yanitsa joins Mobile World Live as a Reporter based in London. She has more than 5 years’ experience at various media outlets in her home country Bulgaria. She started her career as a political reporter, followed by taking editor roles...,Samsung unveils compact wearable chip,Intel to manufacture Qualcomm chips,EC clears SK Hynix to acquire Intel memory assets,Feature Video: MWC21 Barcelona – Wrap Up,Feature Video: Elon Musk Keynote,Feature Video: MWC21 Barcelona – Day 2 Highlights,© 2021 GSM Association. The GSMA, Mobile World Live, MWC Barcelona, MWC Los Angeles & MWC Shanghai terms and logos are trademarks of the GSM Association ",https://www.mobileworldlive.com/devices/news-devices/global-semiconductor-market-takes-a-hit,semiconductor,UK,Mobile World Live,Global semiconductor market takes a hit - Mobile World Live
09 Jan 2020,"SOS LAB, a LiDAR startup for self-driving cars, and ON Semiconductor, a world-class supplier of semiconductor-based solutions, signed a LiDAR collaboration memorandum of understanding to advance the development and commercialization of LiDAR technology for the automotive and smart factory markets on January 7 at CES 2020 (Las Vegas, USA). Wade Appleman, Vice President of ON Semiconductor and JiSeong Jeong, CEO of SOS LAB are taking a photo to celebrate MOU at ON Semiconductor booth during CES 2020 (from left). (Photo: Business Wire),SOS LAB, a LiDAR startup for self-driving cars, and ON Semiconductor, a world-class supplier of semiconductor-based solutions, signed a LiDAR collaboration memorandum of understanding to advance the development and commercialization of LiDAR technology for the automotive and smart factory markets on January 7 at CES 2020 (Las Vegas, USA). Wade Appleman, Vice President of ON Semiconductor and JiSeong Jeong, CEO of SOS LAB are taking a photo to celebrate MOU at ON Semiconductor booth during CES 2020 (from left). (Photo: Business Wire),GWANGJU, South Korea & LAS VEGAS--(,)--,, a LiDAR startup for self-driving cars, and ON Semiconductor, a world-class supplier of semiconductor-based solutions, signed a LiDAR collaboration memorandum of understanding to advance the development and commercialization of LiDAR technology for the automotive and smart factory markets on January 7 at CES 2020 (Las Vegas, USA).
,
Under the agreement, both companies plan to use their respective technologies jointly to accelerate the development and commercialization of LiDAR systems focused on the automotive and smart factory markets. SOS LAB provides high-power VCSEL light sources & Metalens optical technology while ON Semiconductor offers high-resolution SPAD Arrays used for sensing single photons making the combination ideal for a solid-state LiDAR time-of-flight application.
,
ON Semiconductor is the leading provider of intelligent sensing solutions for automotive and autonomous perception, with advanced technology targeting all sensing modalities including image sensors, radar, and LiDAR. SOS LAB Co., Ltd. is the most innovative LiDAR startup in South Korea and is currently focusing on developing small-scale, accurate, and affordable LiDAR sensors for self-driving cars, autonomous things, hyper automation, AI security, and other related industries.
,
SOS LAB, which is attending CES for the third consecutive year, has launched two types of LiDAR systems: a front long-range lidar (SL) using hybrid scanning technology and a side-by-side solid-state type lidar (ML) using big VCSEL and Metalens technology. Therefore, SOS LAB can provide a LiDAR solution that can measure front, rear, and full range for autonomous vehicles / ADAS.
,
“The signing of an MOU with a global leading semiconductor company such as ON Semiconductor has once again proved that SOS LAB's technology is the best in the world,” said JiSeong Jeong, CEO of SOS LAB. “We expect to develop (solid-state) type lidars more quickly and plan to mass-produce lidars for vehicles with built-in headlamps and bumpers within 2-3 years.”
,
For more information on SOS LAB’s LiDAR systems, visit ,.
,
SOS LAB
,Pyeong Hwa Jeong
,+82 10 4096 1883
,
,SOS LAB and ON Semiconductor signed a LiDAR collaboration MOU to advance the development and commercialization of LiDAR technology at CES 2020.,
SOS LAB
,Pyeong Hwa Jeong
,+82 10 4096 1883
,
",https://www.businesswire.com/news/home/20200109005300/en/SOS-LAB-Signs-a-LiDAR-Collaboration-MOU-with-ON-Semiconductor-to-Advance-the-Development-and-Commercialization-of-Solid-state-LiDAR-for-Automotive-and-Smart-Factory-Markets,semiconductor,UK,Business Wire,SOS LAB Signs a LiDAR Collaboration MOU with ON Semiconductor to Advance the Development and Commercialization of Solid-state LiDAR for Automotive and Smart Factory Markets - Business Wire
