query,region,title,excerpt,date,source,link
semiconductor,GB,Lithium-based semiconductor detects thermal neutrons,,2020-1-15,C&amp;EN,https://cen.acs.org/materials/inorganic-chemistry/Lithium-based-semiconductor-detects-thermal/98/i3
semiconductor,GB,TSMC's Strong Earnings Emphasizes Semiconductor Trends,"Semiconductors have seen a resurgence back into growth as the cyclicality of the segment is turning in its favor. The recent rally in the semi space is related to the 5G rollout and the revival of hyperscaling. Q4 earnings are on the horizon, and semis are on deck.",2020-1-16,Yahoo Finance,https://finance.yahoo.com/news/tsmcs-strong-earnings-emphasizes-semiconductor-212009842.html
semiconductor,GB,"Taiwan Semiconductor Manufacturing Company Limited (TSM) Q4 2019 Earnings 
Call Transcript","Founded in 1993 by brothers Tom and David Gardner, The Motley Fool helps millions of people attain financial freedom through our website, podcasts, books, newspaper column, radio show, and premium investing services.",2020-1-16,The Motley Fool,https://www.fool.com/earnings/call-transcripts/2020/01/16/taiwan-semiconductor-manufacturing-company-limited.aspx
semiconductor,GB,South Korea no rival to Taiwan in semiconductor industry ...,"密碼設定成功，請使用新密碼登入
        ",2020-1-21,Taiwan News,https://www.taiwannews.com.tw/en/news/3861646
semiconductor,GB,Exclusive: Washington pressures TSMC to make chips in US,TAIPEI -- Washington has upped the pressure on ,2020-1-15,Nikkei Asia,https://asia.nikkei.com/Business/Technology/Exclusive-Washington-pressures-TSMC-to-make-chips-in-US
semiconductor,GB,"New Semiconductor Technologies Driving Down Cost Of Electric Vehicle 
Batteries",By Hana Askren and Mark Andress,2020-1-8,Forbes,https://www.forbes.com/sites/mergermarket/2020/01/08/new-semiconductor-technologies-driving-down-cost-of-electric-vehicle-batteries/
semiconductor,GB,"Taiwan Semiconductor Boosted Its Capex Budget. Analysts Say That’s Good 
News for Chip Stocks.","This copy is for your personal, non-commercial use only. To order presentation-ready copies for distribution to your colleagues, clients or customers visit http://www.djreprints.com.",2020-1-16,Barron's,https://www.barrons.com/articles/taiwan-semiconductor-tsmc-capex-budget-semiconductor-equipment-chip-stocks-51579192516
semiconductor,GB,ON Semiconductor and Pony.ai Collaboration on Next-Gen ...,"



    ",2020-1-6,GlobeNewswire,https://www.globenewswire.com/news-release/2020/01/06/1966657/0/en/ON-Semiconductor-and-Pony-ai-Collaboration-on-Next-Gen-Image-Sensing-and-Processing-Technologies-for-Autonomous-Vehicles.html
semiconductor,GB,Samsung Electronics gives Intel the top spot in global ...,Samsung Electronics has given up its top spot in global semiconductor sales to Intel. SK hynix retained its third place.,2020-1-16,Korea IT Times,http://www.koreaittimes.com/news/articleView.html?idxno=95086
semiconductor,GB,Intel retook semiconductor top spot from Samsung in 2019,"Worldwide semiconductor revenue declined 12% in 2019, Gartner says.",2020-1-15,ZDNet,https://www.zdnet.com/article/intel-retook-semiconductor-top-spot-from-samsung-in-2019/
semiconductor,GB,AKHAN Semiconductor Issued Major Patent in United States,CHICAGO--(,2020-1-30,Business Wire,https://www.businesswire.com/news/home/20200130005463/en/AKHAN-Semiconductor-Issued-Major-Patent-in-United-States
semiconductor,GB,Global semiconductor market takes a hit,"The global semiconductor industry experienced a double-digit decline in revenue during 2019, as weak performance in the memory market affected many of the top vendors, data from research company Gartner showed.",2020-1-14,Mobile World Live,https://www.mobileworldlive.com/devices/news-devices/global-semiconductor-market-takes-a-hit
semiconductor,GB,Lattice Semiconductor Showcases Low Power FPGA-based AI ...,"HILLSBORO, Ore.--(",2020-1-29,Business Wire,https://www.businesswire.com/news/home/20200129005128/en/Lattice-Semiconductor-Showcases-Low-Power-FPGA-based-AIML-Solutions-at-tinyML-Summit
semiconductor,GB,SOS LAB Signs a LiDAR Collaboration MOU with ON ...,"SOS LAB, a LiDAR startup for self-driving cars, and ON Semiconductor, a world-class supplier of semiconductor-based solutions, signed a LiDAR collaboration memorandum of understanding to advance the development and commercialization of LiDAR technology for the automotive and smart factory markets on January 7 at CES 2020 (Las Vegas, USA). Wade Appleman, Vice President of ON Semiconductor and JiSeong Jeong, CEO of SOS LAB are taking a photo to celebrate MOU at ON Semiconductor booth during CES 2020 (from left). (Photo: Business Wire)",2020-1-9,Business Wire,https://www.businesswire.com/news/home/20200109005300/en/SOS-LAB-Signs-a-LiDAR-Collaboration-MOU-with-ON-Semiconductor-to-Advance-the-Development-and-Commercialization-of-Solid-state-LiDAR-for-Automotive-and-Smart-Factory-Markets
