title,excerpt,source,date
Semiconductor Chip Delivery Times Extend to Record 20 Weeks,"The semiconductor industry is hitting another major shortage issue, with 
lead times extending beyond 20 weeks for orders on semiconductor ...",Tom's Hardware,16 hours ago
Tata group is looking to enter semiconductor manufacturing: Chandrasekaran,"The Tata group is looking to make a foray into semiconductor manufacturing 
and it has set up a business to seize the opportunity, Chairman N ...",Business Standard,2 days ago
"Semiconductor veteran confirms he's part of a £300 million plan to buy the 
UK’s largest chip plant back off China","Ron Black, the former CEO of the U.K.'s Imagination Technologies which used 
to design chips for Apple, is part of a group that wants to buy ...",CNBC,17 hours ago
"Micron Stock, Semiconductor Stocks Retreat Amid Memory Chip Price Forecast","Micron stock fell as many semiconductor stocks retreated after a market 
research firm forecast weakening prices for memory devices in Q4.",Investor's Business Daily,1 day ago
President Tsai pushes for international semiconductor talent pool,"Taipei, Aug. 10 (CNA) Taiwan is hoping to collaborate with countries such 
as Japan and the United States where Taiwanese semiconductor ...",Focus Taiwan,2 days ago
"Neo Semiconductor Claims It Can Deliver QLC Density, SLC Performance","A new company is claiming it can offer NAND SSDs the speed of SLC and the 
capacity of QLC. ...",ExtremeTech,2 days ago
"Your questions about the global chip shortage, answered","Semiconductors are an essential part of nearly all electronics. But an 
array of factors has caused them to be in critically short supply.",Popular Science,2 days ago
"On Semiconductor Is a Buy, Traders Should Add to Longs","ON's stock price charts are bullish, use any dip to build or increase your 
stock position....ON.",RealMoney,2 days ago
"After 5G equipment, Tata Group looking to enter semiconductor manufacturing","Mumbai: Tata Group is looking to make a foray into semiconductor 
manufacturing, Chairman N Chandrasekaran said on Monday.",Mint,2 days ago
China’s biggest foundry founder founds another foundry,"Richard Chang, the father of China's foundry industry, is back with a new 
fab in Qingdao – a timely move given the surging demand for chips ...",South China Morning Post,6 days ago
Explained: Why are the Tatas getting into semiconductor manufacturing?,"Why is Tata Group foraying into semiconductor manufacturing? Tata Sons 
Chairman N Chandrasekaran said recently: “At the group, we have already ...",The Indian Express,1 hour ago
Singapore plays catch-up with Taiwan as chip investments soar,"U.S. semiconductor giant GlobalFoundries will invest over $4 billion in its 
Singapore plant, increasing its capacity to about 1.5 million ...",Nikkei Asia,1 day ago
A College of Semiconductor Research is Established at NTHU,"Dr. Burn J. Lin will be the first dean of the College of Semiconductor 
Research. (Photo: National Tsing Hua University).",Business Wire,14 hours ago
Semiconductor ETFs A Great Bet Now: Here's Why,"Semiconductor ETFs have been in the sweet spot thanks to surging demand for 
chips from manufacturers of everything from smartphones to cars, ...",Yahoo Finance,19 hours ago
China's foray into microchips leads to contest for talent,"Workers make semiconductors at a company in Guiyang, Southwest China's 
Guizhou Province on Tuesday. In recent years, China has witnessed the ...",Global Times,19 hours ago
The United States is determined to dominate the ...,"The United States is determined to dominate the semiconductor tech war. 6 
August 2021. Author: June Park, George Washington University. The United 
States is ...",East Asia Forum,6 days ago
Chip lead times hit 20.2 weeks as semiconductor shortage ...,"Since Covid-19 began, the world has grappled with a lengthy semiconductor 
shortage. IBM's semiconductor plant, East Fishkill. – Thinkstock. The ...",Data Center Dynamics,19 hours ago
Meet The Demand For Semiconductors With These Three ...,"Semiconductors are used in the manufacturing of various kinds of electronic 
devices, including diodes, transistors and integrated circuits.",Forbes,6 days ago
Semiconductors: The Foundation for Nearly All Disruptive Tech,"In the disruptive technology lexicon, whether it's artificial intelligence, 
electric vehicles, healthcare innovation, video games, and much, ...",ETF Trends,9 hours ago
Biden looks to techno-alliances to chip in on semiconductors,"This strategy is quietly taking shape in Japan, South Korea and Taiwan, as 
US President Joe Biden sets out to rebuild the semiconductor ...",East Asia Forum,2 weeks ago
Semiconductor Shortage: China's Chipmaking Efforts Falter ...,"The country's attempts to steer its semiconductor industry into ... The 
country doesn't control the semiconductors that are the building ...",Bloomberg.com,2 weeks ago
Semiconductors Are Big News. Here’s What You Should Know,"Semiconductors Are Big News. Here's What You Should Know ... Semiconductors 
are components needed for manufacturing cars, televisions, ...",Mint,2 weeks ago
The chips are down: Why there's a semiconductor shortage,"Making semiconductors is a delicate process that involves pressing layers 
of chemicals into silicon AFP/JENS SCHLUETER.",CNA,1 week ago
The Semiconductor Shortage: Implications for the Global ...,"Semiconductors, more commonly known as chips, are tiny electronic devices 
that power the functions of an abundance of digital products, ...",DBusiness Magazine,1 week ago
Taiwan semiconductor firms hungry for workers; wages lag US ...,"Taiwan's semiconductor industry has been aggressively recruiting talent 
this year, with its demand for workers in the second quarter rising ...",Taipei Times,3 days ago
China JV repositions Aemulus in semiconductor test market,"Tangren Microtelligence is a technology firm specialising in developing and 
making advanced packaging equipment for semiconductor devices. It is ...",The Edge Markets,1 day ago
New semiconductor cools computer chips – Physics World,"Most semiconductors (including silicon, germanium, gallium arsenide and 
gallium nitride) and metals have Debye temperatures below 700 K, ...",Physics World,6 days ago
Why US-China Rivalry Might Be Good for Singapore's ...,"Chartered Semiconductor was meant to help turn Singapore into a global 
manufacturing hub for semiconductors and computer components and for a ...",The Diplomat,1 month ago
House Hearing Airs Cases For and Against Semiconductor ...,"Two witnesses, Georgetown University analyst Will Hunt and Semiconductor 
Industry Association executive David Isaacs, stressed that leading ...",American Institute of Physics,1 day ago
Semiconductors: Europe’s expensive plan to reach the top tier of chipmakers,"While semiconductors are a prerequisite for emerging technologies such as 
artificial intelligence, quantum computing and autonomous vehicles, it ...",Financial Times,3 weeks ago
Tsai pushes international semiconductor talent pool,"Taiwan is hoping to collaborate with nations such as Japan and the US where 
Taiwanese semiconductor companies have a presence to set up a ...",Taipei Times,1 day ago
"Security concerns over chip shortage are pushing governments to act, 
Moody’s says","More countries are pushing to produce their own semiconductor chips, which 
are in short supply globally, because ""it's a matter of national ...",CNBC,1 week ago
Foxconn to Buy Semiconductor Manufacturing Facility,"Foxconn to Buy Semiconductor Manufacturing Facility. The world's largest 
assembler of Apple iPhones says the purchase will help secure a steady ...",Wall Street Journal,6 days ago
Spate of Solid Q2 Earnings Fuel Semiconductor ETFs,"Semiconductors have taken a lead in the technology segment lately on solid 
earnings. In particular, a spate of better-than-expected reports ...",Yahoo Finance,2 days ago
TSMC and Samsung: Semiconductor Chip Shortage – The ...,"The impact of the pandemic led to a surprising surge in demand for 
semiconductors, which no one anticipated. The result has been long 
queues ...",The Diplomat,2 weeks ago
BlackRock launches semiconductor ETF,"BlackRock has expanded its thematic ETF range with the launch of a global 
semiconductor strategy. The iShares MSCI Global Semiconductors UCITS ...",ETF Stream,6 days ago
Singapore's semiconductor industry faces intensifying global competition,"THE semiconductor industry in Singapore faces increasing global 
competition, according to Minister of State for Trade and Industry Alvin 
Tan ...",The Business Times,2 weeks ago
Now there’s worry the chip shortage will turn into a chip glut,"... a shortage in semiconductors—the components vital to controlling ... to 
advance capacity in the domestic semiconductor industry,” says ...",Fortune,1 week ago
"indie Semiconductor Exceeds Q2 2021 Expectations and Reaffirms Strategic 
Outlook","indie Semiconductor will host a conference call with analysts to discuss 
its second quarter 2021 results and business outlook today at 5:00 ...",Yahoo Finance,1 day ago
Patent Filings Roundup: Litigation Funding WAGs the Dog ...,"A big chunk of the PTAB action was against Ocean Semiconductor LLC by 
Applied Materials, Inc., who filed five against the litigation ...",IPWatchdog.com,14 hours ago
Semiconductor quantum dots: Technological progress and ...,"Semiconductor materials feature optical and electronic properties that can 
be engineered through their composition and crystal structure. The ...",Science,6 days ago
Global semiconductor sales increase 29.2% to US$44.5bil in ...,"PETALING JAYA: Worldwide sales of semiconductors rose 29.2% to ... SIA 
represents 98% of the US semiconductor industry by revenue and nearly ...",The Star,1 week ago
The 10 Biggest Semiconductor News Stories Of 2021 (So Far),"The global chip shortage is easily the biggest story of the semiconductor 
industry this year, but there have been plenty of other major ...",CRN,2 weeks ago
These 2 Things Make NVIDIA the Best Semiconductor Stock For the 2020s,"The rulebook is changing for semiconductor industry success, and Nvidia's 
combo of tech hardware licensing and software makes it the best bet ...",The Motley Fool,4 days ago
"Tiny chip, big deal: Intel may be first to use TSMC's 3nm ...","Intel will likely beat Apple to become the first company to use Taiwan 
Semiconductor Manufacturing Company's (TSMC) 3 nanometre (nm) chip, ...",Verdict,18 hours ago
The Global Semiconductor Shortage Persist for more than ...,"“Semiconductor manufacturing is a globally intertwined ecosystem, which 
makes the supply chain vulnerable to macroeconomics, geopolitics and ...",ELE Times,3 weeks ago
"Taiwan semiconductor company plans to build U.S. factory to meet sustained 
chip demand","TAIPEI —Taiwan Semiconductor Manufacturing Co Ltd (TSMC) signalled on 
Thursday plans to build new factories in the United States and Japan, ...",Autoblog,3 weeks ago
QLC at SLC speed: NEO Semiconductor's X-NAND flash ...,"NEO Semiconductor has patented X-NAND tech to accelerate SSD writes 
fifteenfold, and shrink die sizes. Two patents were awarded on August 5.",Blocks and Files,5 days ago
"Onsemi, formerly ON Semiconductor, now pledges to be net-zero by 2040, CEO 
says","ON Semiconductor, now known as Onsemi, plans to achieve carbon neutral 
emissions by 2040, president and CEO Hassane El-Khoury told CNBC's Jim ...",CNBC,6 days ago
SMC 2021 to Highlight Semiconductor Materials Powering ...,"Themed Leading Future Technology Innovations with Materials, SMC 2021 will 
gather leaders from every segment of semiconductor manufacturing to ...",HPCwire,1 week ago
Guangdong Province plans to phase in local semiconductor ...,"Also, a supply chain for semiconductors and integrated circuits (ICs) 
encompassing design, manufacturing, packaging and testing will be in 
place ...",Global Times,2 days ago
5 Solid Stocks to Buy on a Booming Semiconductor Market,"The semiconductor industry continues to thrive amid a global supply crisis 
that has kept several other sectors under pressure.",Yahoo Finance,6 days ago
Semiconductor equipment sales to hit US$100bn,"The global semiconductor equipment market is forecast to expand to a 
record-high US$100 billion next year, with Taiwan regaining its top ...",Taipei Times,1 month ago
How Semiconductor Shortages Have Taken A Chip Out Of The Global Supply Chain,"While news reports on the semiconductor shortage has focused on the 
automotive industry, most consumer electronics and hi-tech companies will 
be ...",Forbes,1 month ago
China’s semiconductor output hits record in June with support from Beijing,"China's semiconductor output hits record high as Beijing boosts local 
production amid intensifying US-China tech war · China's integrated 
circuit ...",South China Morning Post,1 month ago
Semiconductor Surface States Enhance Wavelength ...,"Semiconductor Surface States Enhance Wavelength Conversion ... LOS ANGELES, 
Aug. 3, 2021 — Electrical engineers from the UCLA Samueli School of 
Engineering ...",Photonics.com,1 week ago
"With Auto Chip Shortage Easing, Are Semiconductor Equipment Stocks Still A 
Buy?","The stocks in the theme have had a relatively mixed couple of days, driven 
by news from TSMC, the largest semiconductor contract manufacturer, ...",Forbes,3 weeks ago
Semiconductor subsidies have skyrocketed,"Semiconductor subsidies have skyrocketed. From 2000-2020, the US, EU, and 
South Korea spent $12.5 billion total on chips—now, they've pledged a ...",Morning Brew,3 weeks ago
Biden administration sounds the alarm on the semiconductor crisis,"Semiconductors, or computer chips, act as the brains that power our 
technological devices. These chips, now smaller than a stamp and thinner ...",Fortune,4 weeks ago
Explained: What makes semiconductors critical to multiple industries,"WHAT ARE SEMICONDUCTOR CHIPS? ... Integrated into complex, microelectronic 
circuits, semiconductors enable functions such as high-computing, ...",India Today,3 weeks ago
